conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1972366861028491424,Sun Sep 28 18:24:39 +0000 2025,1,10 MEI 8 BKL,1972366861028491424,,,in,,0,0,0,https://x.com/undefined/status/1972366861028491424,1849014076351127552,
1972364660176568527,Sun Sep 28 18:19:30 +0000 2025,0,@taekookbb07 Iska taang pe danda maar denge,1972365565177319651,,taekookbb07,in,,0,1,0,https://x.com/undefined/status/1972365565177319651,1849014076351127552,
1972364660176568527,Sun Sep 28 18:16:59 +0000 2025,0,@taekookbb07 Bathroom ho jayega mereko https://t.co/FngZTQJrMN,1972364934110679293,https://pbs.twimg.com/media/G18_c4_XAAAu8MU.png,taekookbb07,in,,0,1,0,https://x.com/undefined/status/1972364934110679293,1849014076351127552,
1972363492629139711,Sun Sep 28 18:11:16 +0000 2025,0,Semoga insomnia ku sembuh,1972363492629139711,,,in,,0,0,0,https://x.com/undefined/status/1972363492629139711,1470564526391115777,
1972359290574053408,Sun Sep 28 18:08:10 +0000 2025,1,@cryptoiz_IDN Pak sama insomnia dari kecil gimana pak,1972362713545453873,,cryptoiz_IDN,in,,0,1,0,https://x.com/undefined/status/1972362713545453873,1746816029173682177,
1972362253090558045,Sun Sep 28 18:06:20 +0000 2025,0,1-1 run lega toh hogaya match gaandu log https://t.co/NCKP1VrzfX,1972362253090558045,https://pbs.twimg.com/tweet_video_thumb/G189ASbXMAAml7M.jpg,,in,,0,0,0,https://x.com/undefined/status/1972362253090558045,1849014076351127552,
1972361505325908317,Sun Sep 28 18:03:22 +0000 2025,0,35-23 hogaya bhai bp badh raha https://t.co/GnUY0Bn40D,1972361505325908317,https://pbs.twimg.com/tweet_video_thumb/G188U4rWYAANP36.jpg,,in,,0,0,0,https://x.com/undefined/status/1972361505325908317,1849014076351127552,
1972340544035750212,Sun Sep 28 17:57:15 +0000 2025,0,@twevetr Mmm kakinya,1972359967287214343,,twevetr,tl,,1,0,0,https://x.com/undefined/status/1972359967287214343,1781223220047380480,
1972330925506900371,Sun Sep 28 17:57:03 +0000 2025,0,@twevetr Bisa baca pikiran orang,1972359914749403156,,twevetr,in,,0,0,0,https://x.com/undefined/status/1972359914749403156,1781223220047380480,
1972354373520158898,Sun Sep 28 17:35:01 +0000 2025,0,Senin baru jalan TL rame Mikel Merino ada #NiteLy buat yang insomnia terus MAKE CRIME ILLEGAL AGAIN nongol random banget https://t.co/B9qkeLybsx,1972354373520158898,https://pbs.twimg.com/media/G1811LFbYAAH9ws.jpg,,in,,0,1,0,https://x.com/undefined/status/1972354373520158898,1945077549547315202,
