full_text,Filtering,Case_Folding,Tokenizing,Stemming,Stopwords_Removal
@pujonoimam @xendless_s Pernyataan Kepala BNN itu menyoroti salah satu tanda potensial paparan narkoba pada remaja tapi pola tidur malam-aktif dan pagi-tidur bisa disebabkan faktor lain seperti belajar kerja shift atau insomnia. Jangan buru-buru simpulkan perhatikan tanda lain seperti perubahan,  Pernyataan Kepala BNN itu menyoroti salah satu tanda potensial paparan narkoba pada remaja tapi pola tidur malamaktif dan pagitidur bisa disebabkan faktor lain seperti belajar kerja shift atau insomnia Jangan buruburu simpulkan perhatikan tanda lain seperti perubahan,  pernyataan kepala bnn itu menyoroti salah satu tanda potensial paparan narkoba pada remaja tapi pola tidur malamaktif dan pagitidur bisa disebabkan faktor lain seperti belajar kerja shift atau insomnia jangan buruburu simpulkan perhatikan tanda lain seperti perubahan,"['pernyataan', 'kepala', 'bnn', 'itu', 'menyoroti', 'salah', 'satu', 'tanda', 'potensial', 'paparan', 'narkoba', 'pada', 'remaja', 'tapi', 'pola', 'tidur', 'malamaktif', 'dan', 'pagitidur', 'bisa', 'disebabkan', 'faktor', 'lain', 'seperti', 'belajar', 'kerja', 'shift', 'atau', 'insomnia', 'jangan', 'buruburu', 'simpulkan', 'perhatikan', 'tanda', 'lain', 'seperti', 'perubahan']","['nyata', 'kepala', 'bnn', 'itu', 'sorot', 'salah', 'satu', 'tanda', 'potensial', 'papar', 'narkoba', 'pada', 'remaja', 'tapi', 'pola', 'tidur', 'malamaktif', 'dan', 'pagitidur', 'bisa', 'sebab', 'faktor', 'lain', 'seperti', 'ajar', 'kerja', 'shift', 'atau', 'insomnia', 'jangan', 'buruburu', 'simpul', 'perhati', 'tanda', 'lain', 'seperti', 'ubah']","['nyata', 'kepala', 'bnn', 'sorot', 'salah', 'tanda', 'potensial', 'papar', 'narkoba', 'remaja', 'pola', 'tidur', 'malamaktif', 'pagitidur', 'faktor', 'ajar', 'kerja', 'shift', 'insomnia', 'buruburu', 'simpul', 'perhati', 'tanda', 'ubah']"
gue yg insomnia ini kek penyabu kah,gue yg insomnia ini kek penyabu kah,gue yg insomnia ini kek penyabu kah,"['gue', 'yg', 'insomnia', 'ini', 'kek', 'penyabu', 'kah']","['gue', 'yg', 'insomnia', 'ini', 'kek', 'penyabu', 'kah']","['gue', 'yg', 'insomnia', 'kek', 'penyabu', 'kah']"
waduh gw pelaku tapi lingkungan gw emang pada suka minjem duit. jadi gw sengaja.,waduh gw pelaku tapi lingkungan gw emang pada suka minjem duit jadi gw sengaja,waduh gw pelaku tapi lingkungan gw emang pada suka minjem duit jadi gw sengaja,"['waduh', 'gw', 'pelaku', 'tapi', 'lingkungan', 'gw', 'emang', 'pada', 'suka', 'minjem', 'duit', 'jadi', 'gw', 'sengaja']","['waduh', 'gw', 'laku', 'tapi', 'lingkung', 'gw', 'emang', 'pada', 'suka', 'minjem', 'duit', 'jadi', 'gw', 'sengaja']","['gw', 'laku', 'lingkung', 'gw', 'emang', 'suka', 'minjem', 'duit', 'gw', 'sengaja']"
Anjir pekerja shift malam dibilang make orang insomnia dibilang make . Kalo ngomong itu dipikir dulu mas.,Anjir pekerja shift malam dibilang make orang insomnia dibilang make  Kalo ngomong itu dipikir dulu mas,anjir pekerja shift malam dibilang make orang insomnia dibilang make  kalo ngomong itu dipikir dulu mas,"['anjir', 'pekerja', 'shift', 'malam', 'dibilang', 'make', 'orang', 'insomnia', 'dibilang', 'make', 'kalo', 'ngomong', 'itu', 'dipikir', 'dulu', 'mas']","['anjir', 'kerja', 'shift', 'malam', 'bilang', 'make', 'orang', 'insomnia', 'bilang', 'make', 'kalo', 'ngomong', 'itu', 'pikir', 'dulu', 'mas']","['anjir', 'kerja', 'shift', 'malam', 'bilang', 'make', 'orang', 'insomnia', 'bilang', 'make', 'kalo', 'ngomong', 'pikir', 'mas']"
@xendless_s Pemuda bikin lamaran kerja latihan interview sampai malam pas interview gagal karena requirementnya yang aneh aneh agak depresi insomnia pagi baru bisa tidur (kamu narkoboy) , Pemuda bikin lamaran kerja latihan interview sampai malam pas interview gagal karena requirementnya yang aneh aneh agak depresi insomnia pagi baru bisa tidur kamu narkoboy , pemuda bikin lamaran kerja latihan interview sampai malam pas interview gagal karena requirementnya yang aneh aneh agak depresi insomnia pagi baru bisa tidur kamu narkoboy ,"['pemuda', 'bikin', 'lamaran', 'kerja', 'latihan', 'interview', 'sampai', 'malam', 'pas', 'interview', 'gagal', 'karena', 'requirementnya', 'yang', 'aneh', 'aneh', 'agak', 'depresi', 'insomnia', 'pagi', 'baru', 'bisa', 'tidur', 'kamu', 'narkoboy']","['pemuda', 'bikin', 'lamar', 'kerja', 'latih', 'interview', 'sampai', 'malam', 'pas', 'interview', 'gagal', 'karena', 'requirementnya', 'yang', 'aneh', 'aneh', 'agak', 'depresi', 'insomnia', 'pagi', 'baru', 'bisa', 'tidur', 'kamu', 'narkoboy']","['pemuda', 'bikin', 'lamar', 'kerja', 'latih', 'interview', 'malam', 'pas', 'interview', 'gagal', 'requirementnya', 'aneh', 'aneh', 'depresi', 'insomnia', 'pagi', 'tidur', 'narkoboy']"
@kiaipetruk @xendless_s Tidak sepenuhnya benar. Menurut Kepala BNN pola aktif malam dan tidur pagi bisa jadi salah satu tanda remaja terpapar narkoba terutama stimulan yang sebabkan insomnia. Namun banyak remaja alami ini karena perubahan hormon alami sekolah atau layar gadget. Bukan tanda pasti;,  Tidak sepenuhnya benar Menurut Kepala BNN pola aktif malam dan tidur pagi bisa jadi salah satu tanda remaja terpapar narkoba terutama stimulan yang sebabkan insomnia Namun banyak remaja alami ini karena perubahan hormon alami sekolah atau layar gadget Bukan tanda pasti,  tidak sepenuhnya benar menurut kepala bnn pola aktif malam dan tidur pagi bisa jadi salah satu tanda remaja terpapar narkoba terutama stimulan yang sebabkan insomnia namun banyak remaja alami ini karena perubahan hormon alami sekolah atau layar gadget bukan tanda pasti,"['tidak', 'sepenuhnya', 'benar', 'menurut', 'kepala', 'bnn', 'pola', 'aktif', 'malam', 'dan', 'tidur', 'pagi', 'bisa', 'jadi', 'salah', 'satu', 'tanda', 'remaja', 'terpapar', 'narkoba', 'terutama', 'stimulan', 'yang', 'sebabkan', 'insomnia', 'namun', 'banyak', 'remaja', 'alami', 'ini', 'karena', 'perubahan', 'hormon', 'alami', 'sekolah', 'atau', 'layar', 'gadget', 'bukan', 'tanda', 'pasti']","['tidak', 'sepenuh', 'benar', 'turut', 'kepala', 'bnn', 'pola', 'aktif', 'malam', 'dan', 'tidur', 'pagi', 'bisa', 'jadi', 'salah', 'satu', 'tanda', 'remaja', 'papar', 'narkoba', 'utama', 'stimulan', 'yang', 'sebab', 'insomnia', 'namun', 'banyak', 'remaja', 'alami', 'ini', 'karena', 'ubah', 'hormon', 'alami', 'sekolah', 'atau', 'layar', 'gadget', 'bukan', 'tanda', 'pasti']","['sepenuh', 'kepala', 'bnn', 'pola', 'aktif', 'malam', 'tidur', 'pagi', 'salah', 'tanda', 'remaja', 'papar', 'narkoba', 'utama', 'stimulan', 'insomnia', 'remaja', 'alami', 'ubah', 'hormon', 'alami', 'sekolah', 'layar', 'gadget', 'tanda']"
@xendless_s Insomnia gmn nih... , Insomnia gmn nih , insomnia gmn nih ,"['insomnia', 'gmn', 'nih']","['insomnia', 'gmn', 'nih']","['insomnia', 'gmn', 'nih']"
@seisuiro Insomnia kah??, Insomnia kah, insomnia kah,"['insomnia', 'kah']","['insomnia', 'kah']","['insomnia', 'kah']"
Been struggling with insomnia lately 2 3 days no sleep terus kalau tidur cuma sejam langsung kebangun lagi ,Been struggling with insomnia lately   days no sleep terus kalau tidur cuma sejam langsung kebangun lagi ,been struggling with insomnia lately   days no sleep terus kalau tidur cuma sejam langsung kebangun lagi ,"['been', 'struggling', 'with', 'insomnia', 'lately', 'days', 'no', 'sleep', 'terus', 'kalau', 'tidur', 'cuma', 'sejam', 'langsung', 'kebangun', 'lagi']","['been', 'struggling', 'with', 'insomnia', 'lately', 'days', 'no', 'sleep', 'terus', 'kalau', 'tidur', 'cuma', 'jam', 'langsung', 'bangun', 'lagi']","['been', 'struggling', 'with', 'insomnia', 'lately', 'days', 'no', 'sleep', 'tidur', 'jam', 'langsung', 'bangun']"
capek banget punya insomnia kaya gini,capek banget punya insomnia kaya gini,capek banget punya insomnia kaya gini,"['capek', 'banget', 'punya', 'insomnia', 'kaya', 'gini']","['capek', 'banget', 'punya', 'insomnia', 'kaya', 'gin']","['capek', 'banget', 'insomnia', 'kaya', 'gin']"
Haris Rauf Allah kry Tumhy insomnia ho jaye hnri neend barbad krdi hai :(,Haris Rauf Allah kry Tumhy insomnia ho jaye hnri neend barbad krdi hai ,haris rauf allah kry tumhy insomnia ho jaye hnri neend barbad krdi hai ,"['haris', 'rauf', 'allah', 'kry', 'tumhy', 'insomnia', 'ho', 'jaye', 'hnri', 'neend', 'barbad', 'krdi', 'hai']","['haris', 'rauf', 'allah', 'kry', 'tumhy', 'insomnia', 'ho', 'jaye', 'hnri', 'neend', 'barbad', 'krdi', 'hai']","['haris', 'rauf', 'allah', 'kry', 'tumhy', 'insomnia', 'ho', 'jaye', 'hnri', 'neend', 'barbad', 'krdi', 'hai']"
memanfaatkan insomnia dengan membuat ilustrasi mbg (makan beracun gratis) https://t.co/Kp9VvvotT8,memanfaatkan insomnia dengan membuat ilustrasi mbg makan beracun gratis ,memanfaatkan insomnia dengan membuat ilustrasi mbg makan beracun gratis ,"['memanfaatkan', 'insomnia', 'dengan', 'membuat', 'ilustrasi', 'mbg', 'makan', 'beracun', 'gratis']","['manfaat', 'insomnia', 'dengan', 'buat', 'ilustrasi', 'mbg', 'makan', 'racun', 'gratis']","['manfaat', 'insomnia', 'ilustrasi', 'mbg', 'makan', 'racun', 'gratis']"
Apa yang kamu harapin dari orang insomnia,Apa yang kamu harapin dari orang insomnia,apa yang kamu harapin dari orang insomnia,"['apa', 'yang', 'kamu', 'harapin', 'dari', 'orang', 'insomnia']","['apa', 'yang', 'kamu', 'harapin', 'dari', 'orang', 'insomnia']","['harapin', 'orang', 'insomnia']"
Bingung dah.. Insomnia tapi kepikiran buat baca ulang au ini.. Setan pojok kamar gue juga ketawa kali..,Bingung dah Insomnia tapi kepikiran buat baca ulang au ini Setan pojok kamar gue juga ketawa kali,bingung dah insomnia tapi kepikiran buat baca ulang au ini setan pojok kamar gue juga ketawa kali,"['bingung', 'dah', 'insomnia', 'tapi', 'kepikiran', 'buat', 'baca', 'ulang', 'au', 'ini', 'setan', 'pojok', 'kamar', 'gue', 'juga', 'ketawa', 'kali']","['bingung', 'dah', 'insomnia', 'tapi', 'pikir', 'buat', 'baca', 'ulang', 'au', 'ini', 'setan', 'pojok', 'kamar', 'gue', 'juga', 'ketawa', 'kali']","['bingung', 'dah', 'insomnia', 'pikir', 'baca', 'ulang', 'au', 'setan', 'pojok', 'kamar', 'gue', 'ketawa', 'kali']"
Badan dan mata terlampau lelah tapi untuk istirahat aja ga bisa :( Gimana ya ngatasin insomnia,Badan dan mata terlampau lelah tapi untuk istirahat aja ga bisa  Gimana ya ngatasin insomnia,badan dan mata terlampau lelah tapi untuk istirahat aja ga bisa  gimana ya ngatasin insomnia,"['badan', 'dan', 'mata', 'terlampau', 'lelah', 'tapi', 'untuk', 'istirahat', 'aja', 'ga', 'bisa', 'gimana', 'ya', 'ngatasin', 'insomnia']","['badan', 'dan', 'mata', 'lampau', 'lelah', 'tapi', 'untuk', 'istirahat', 'aja', 'ga', 'bisa', 'gimana', 'ya', 'ngatasin', 'insomnia']","['badan', 'mata', 'lampau', 'lelah', 'istirahat', 'aja', 'ga', 'gimana', 'ya', 'ngatasin', 'insomnia']"
Ahhh insomnia nya kambuh daritadi udah coba berbagai gaya tidur tetap gabisa tidur juga,Ahhh insomnia nya kambuh daritadi udah coba berbagai gaya tidur tetap gabisa tidur juga,ahhh insomnia nya kambuh daritadi udah coba berbagai gaya tidur tetap gabisa tidur juga,"['ahhh', 'insomnia', 'nya', 'kambuh', 'daritadi', 'udah', 'coba', 'berbagai', 'gaya', 'tidur', 'tetap', 'gabisa', 'tidur', 'juga']","['ahhh', 'insomnia', 'nya', 'kambuh', 'daritadi', 'udah', 'coba', 'bagai', 'gaya', 'tidur', 'tetap', 'gabisa', 'tidur', 'juga']","['ahhh', 'insomnia', 'nya', 'kambuh', 'daritadi', 'udah', 'coba', 'gaya', 'tidur', 'gabisa', 'tidur']"
Kalo menurut logika beliau orang yang kena insomnia pun juga dikatain terpapar narkoba. Noted pak!! Bapak tolol nya kebangetan ,Kalo menurut logika beliau orang yang kena insomnia pun juga dikatain terpapar narkoba Noted pak Bapak tolol nya kebangetan ,kalo menurut logika beliau orang yang kena insomnia pun juga dikatain terpapar narkoba noted pak bapak tolol nya kebangetan ,"['kalo', 'menurut', 'logika', 'beliau', 'orang', 'yang', 'kena', 'insomnia', 'pun', 'juga', 'dikatain', 'terpapar', 'narkoba', 'noted', 'pak', 'bapak', 'tolol', 'nya', 'kebangetan']","['kalo', 'turut', 'logika', 'beliau', 'orang', 'yang', 'kena', 'insomnia', 'pun', 'juga', 'dikatain', 'papar', 'narkoba', 'noted', 'pak', 'bapak', 'tolol', 'nya', 'banget']","['kalo', 'logika', 'beliau', 'orang', 'kena', 'insomnia', 'dikatain', 'papar', 'narkoba', 'noted', 'tolol', 'nya', 'banget']"
@Komur_rr Film kitap, Film kitap, film kitap,"['film', 'kitap']","['film', 'kitap']","['film', 'kitap']"
gbisa tdr woii insomnia kambuh,gbisa tdr woii insomnia kambuh,gbisa tdr woii insomnia kambuh,"['gbisa', 'tdr', 'woii', 'insomnia', 'kambuh']","['gbisa', 'tdr', 'woii', 'insomnia', 'kambuh']","['gbisa', 'tdr', 'woii', 'insomnia', 'kambuh']"
@sertsessiz777 Peki:), Peki, peki,['peki'],['pek'],['pek']
Ab 10 chahiye 6 ball mein https://t.co/kOp8ZYOxW3,Ab  chahiye  ball mein ,ab  chahiye  ball mein ,"['ab', 'chahiye', 'ball', 'mein']","['ab', 'chahiye', 'ball', 'mein']","['ab', 'chahiye', 'ball', 'mein']"
KYA BHAI KYAAAAAAAAAA https://t.co/JUrROOK39M,KYA BHAI KYAAAAAAAAAA ,kya bhai kyaaaaaaaaaa ,"['kya', 'bhai', 'kyaaaaaaaaaa']","['kya', 'bhai', 'kyaaaaaaaaaa']","['kya', 'bhai', 'kyaaaaaaaaaa']"
10 MEI 8 BKL, MEI  BKL, mei  bkl,"['mei', 'bkl']","['mei', 'bkl']","['mei', 'bkl']"
@taekookbb07 Iska taang pe danda maar denge, Iska taang pe danda maar denge, iska taang pe danda maar denge,"['iska', 'taang', 'pe', 'danda', 'maar', 'denge']","['iska', 'taang', 'pe', 'danda', 'maar', 'denge']","['iska', 'taang', 'pe', 'danda', 'maar', 'denge']"
@taekookbb07 Bathroom ho jayega mereko https://t.co/FngZTQJrMN, Bathroom ho jayega mereko , bathroom ho jayega mereko ,"['bathroom', 'ho', 'jayega', 'mereko']","['bathroom', 'ho', 'jayega', 'mereko']","['bathroom', 'ho', 'jayega', 'mereko']"
Semoga insomnia ku sembuh,Semoga insomnia ku sembuh,semoga insomnia ku sembuh,"['semoga', 'insomnia', 'ku', 'sembuh']","['moga', 'insomnia', 'ku', 'sembuh']","['moga', 'insomnia', 'ku', 'sembuh']"
@cryptoiz_IDN Pak sama insomnia dari kecil gimana pak, Pak sama insomnia dari kecil gimana pak, pak sama insomnia dari kecil gimana pak,"['pak', 'sama', 'insomnia', 'dari', 'kecil', 'gimana', 'pak']","['pak', 'sama', 'insomnia', 'dari', 'kecil', 'gimana', 'pak']","['insomnia', 'gimana']"
1-1 run lega toh hogaya match gaandu log https://t.co/NCKP1VrzfX, run lega toh hogaya match gaandu log , run lega toh hogaya match gaandu log ,"['run', 'lega', 'toh', 'hogaya', 'match', 'gaandu', 'log']","['run', 'lega', 'toh', 'hogaya', 'match', 'gaandu', 'log']","['run', 'lega', 'hogaya', 'match', 'gaandu', 'log']"
35-23 hogaya bhai bp badh raha https://t.co/GnUY0Bn40D, hogaya bhai bp badh raha , hogaya bhai bp badh raha ,"['hogaya', 'bhai', 'bp', 'badh', 'raha']","['hogaya', 'bhai', 'bp', 'badh', 'raha']","['hogaya', 'bhai', 'bp', 'badh', 'raha']"
@twevetr Mmm kakinya, Mmm kakinya, mmm kakinya,"['mmm', 'kakinya']","['mmm', 'kaki']","['mmm', 'kaki']"
@twevetr Bisa baca pikiran orang, Bisa baca pikiran orang, bisa baca pikiran orang,"['bisa', 'baca', 'pikiran', 'orang']","['bisa', 'baca', 'pikir', 'orang']","['baca', 'pikir', 'orang']"
Senin baru jalan TL rame Mikel Merino ada #NiteLy buat yang insomnia terus MAKE CRIME ILLEGAL AGAIN nongol random banget https://t.co/B9qkeLybsx,Senin baru jalan TL rame Mikel Merino ada  buat yang insomnia terus MAKE CRIME ILLEGAL AGAIN nongol random banget ,senin baru jalan tl rame mikel merino ada  buat yang insomnia terus make crime illegal again nongol random banget ,"['senin', 'baru', 'jalan', 'tl', 'rame', 'mikel', 'merino', 'ada', 'buat', 'yang', 'insomnia', 'terus', 'make', 'crime', 'illegal', 'again', 'nongol', 'random', 'banget']","['senin', 'baru', 'jalan', 'tl', 'rame', 'mikel', 'merino', 'ada', 'buat', 'yang', 'insomnia', 'terus', 'make', 'crime', 'illegal', 'again', 'nongol', 'random', 'banget']","['senin', 'jalan', 'tl', 'rame', 'mikel', 'merino', 'insomnia', 'make', 'crime', 'illegal', 'again', 'nongol', 'random', 'banget']"
Drinks break mei sabko Daru pila do boundary aayega https://t.co/Wysdoa1vde,Drinks break mei sabko Daru pila do boundary aayega ,drinks break mei sabko daru pila do boundary aayega ,"['drinks', 'break', 'mei', 'sabko', 'daru', 'pila', 'do', 'boundary', 'aayega']","['drinks', 'break', 'mei', 'sabko', 'daru', 'pila', 'do', 'boundary', 'aayega']","['drinks', 'break', 'mei', 'sabko', 'daru', 'pila', 'do', 'boundary', 'aayega']"
